Journal,Abbreviation,Index Type,Subject,Impact Factor,JCR-zone,ISSN,Rank
Selcuk Universitesi Edebiyat Fakultesi Dergisi-Selcuk University Journal of Faculty of Letters,SELCUK UNIV EDEB FAK,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1300-4921,20884
Sexologies,SEXOLOGIES,ESCI,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.1,Q4,1158-1360,20884
Tercio Creciente,TERCIO CRECIENTE,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,2340-9096,20884
Transylvanian Review,TRANSYLV REV,AHCI,HISTORY,0.1,Q3,1221-1249,20884
ZEITSCHRIFT FUR DIALEKTOLOGIE UND LINGUISTIK,Z DIALEKTOL LINGUIST,AHCI,Multiple,0.1,Q4,0044-1449,20884
Anuari de Filologia-Estudis de Linguistica,ANU FILOL-ESTUD LING,ESCI,LANGUAGE & LINGUISTICS,0.1,N/A,2014-1408,20884
Archai-Revista de Estudos Sobre as Origens do Pensamento Ocidental,ARCHAI,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1984-249X,20884
ARION-A JOURNAL OF HUMANITIES AND THE CLASSICS,ARION,AHCI,CLASSICS,0.1,N/A,0095-5809,20884
Aschkenas-Zeitschrift fuer Geschichte und Kultur der Juden,ASCHKENAS,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1016-4987,20884
Bariatric Surgical Practice and Patient Care,BARIATR SURG PRACT P,"SCIE, SSCI",Multiple,0.1,Q4,2168-023X,20884
Belphegor,BELPHEGOR,ESCI,LITERATURE,0.1,N/A,1499-7185,20884
Bogoslovska Smotra-Ephemerides Theologicae Zagrabienses,BOGOSL SMOTRA,ESCI,RELIGION,0.1,N/A,0352-3101,20884
Cahiers Mondes Anciens,CAH MONDES ANC,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,2107-0199,20884
Cultura de los Cuidados,CULT CUID,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1138-1728,20884
Filozofska Istrazivanja,FILOZ ISTRAZ,AHCI,PHILOSOPHY,0.1,N/A,0351-4706,20884
Gazi Akademik Bakis-Gazi Academic View,GAZI AKAD BAKIS,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1307-9778,20884
Interdisciplinary Studies of Complex Systems,INTERDISCIP STUD COM,ESCI,MULTIDISCIPLINARY SCIENCES,0.1,Q4,2307-4515,20884
INTERNATIONAL JOURNAL OF IBERIAN STUDIES,INT J IBER STUD,ESCI,"SOCIAL SCIENCES, INTERDISCIPLINARY",0.1,Q4,1364-971X,20884
Jurnal Penelitian dan Pembelajaran IPA,J PENELIT PEMBELAJAR,ESCI,"EDUCATION, SCIENTIFIC DISCIPLINES",0.1,Q4,2477-1422,20884
Logos & Pneuma-Chinese Journal of Theology,LOGOS PNEUMA-CHIN J,AHCI,RELIGION,0.1,N/A,1023-2583,20884
Modernist Cultures,MODERNIST CULT,AHCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,2041-1022,20884
OLBA,OLBA,AHCI,ARCHAEOLOGY,0.1,N/A,1301-7667,20884
Probability and Mathematical Statistics-Poland,PROBAB MATH STAT-POL,SCIE,STATISTICS & PROBABILITY,0.1,Q4,0208-4147,20884
RACAR-REVUE D ART CANADIENNE-CANADIAN ART REVIEW,RACAR,ESCI,ART,0.1,N/A,0315-9906,20884
Religious Studies Review,RELIG STUD REV,AHCI,RELIGION,0.1,N/A,0319-485X,20884
Revista de Filologia Alemana,REV FILOL ALEM,ESCI,"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN",0.1,N/A,1133-0406,20884
Revista Estudos Politicos,REV ESTUD POLIT-BR,ESCI,POLITICAL SCIENCE,0.1,Q4,2177-2851,20884
Revista Historia-Debates e Tendencias,REV HIST-DEBATES TEN,ESCI,HISTORY,0.1,Q3,1517-2856,20884
REVUE DE METAPHYSIQUE ET DE MORALE,REV METAPHYS MORALE,AHCI,PHILOSOPHY,0.1,N/A,0035-1571,20884
Revue LISA-LISA E-Journal,REV LISA-LISA E-J,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1762-6153,20884
Rivista di Estetica,RIV ESTET,AHCI,PHILOSOPHY,0.1,N/A,0035-6212,20884
Studia Semiotyczne,STUDIA SEMIOTYCZNE,ESCI,PHILOSOPHY,0.1,N/A,0137-6608,20884
Tekst Kniga Knigoizdanie-Text Book Publishing,TEKST KNIGA KNIGOIZD,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,2306-2061,20884
Yorkshire Archaeological Journal,YORKS ARCHAEOL J,ESCI,ARCHAEOLOGY,0.1,N/A,0084-4276,20884
Acta Universitatis Lodziensis-Folia Iuridica,ACTA U LODZ FOLIA LU,ESCI,LAW,0.1,Q4,0208-6069,20884
African Journal of Employee Relations,AFR J EMPLOYEE RELAT,ESCI,INDUSTRIAL RELATIONS & LABOR,0.1,Q4,N/A,20884
ANNALES HISTORIQUES DE LA REVOLUTION FRANCAISE,ANN HIST REVOL FR,AHCI,HISTORY,0.1,Q3,0003-4436,20884
Antropologia Portuguesa,ANTROPOL PORT,ESCI,ANTHROPOLOGY,0.1,Q4,0870-0990,20884
ArcheoSciences-Revue d Archeometrie,ARCHEOSCIENCES-REV A,AHCI,Multiple,0.1,Q4,1960-1360,20884
Archiv fur Rechts- und Sozialphilosophie,ARCH RECHTS- SOZIALP,ESCI,PHILOSOPHY,0.1,N/A,0001-2343,20884
Ars Adriatica,ARS ADRIAT,ESCI,ART,0.1,N/A,1848-1590,20884
Arthur Miller Journal,ARTHUR MILLER J,ESCI,THEATER,0.1,N/A,1558-8831,20884
Balkanistic Forum,BALKAN FORUM,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1310-3970,20884
Capitale Culturale-Studies on the Value of Cultural Heritage,CAPITAL CULT,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,2039-2362,20884
CELEHIS-Revista del Centro de Letras Hispanoamericanas,CELEHIS,ESCI,"LITERATURE, ROMANCE",0.1,N/A,0328-5766,20884
Codex Aquilarensis,CODEX AQUILAR,ESCI,MEDIEVAL & RENAISSANCE STUDIES,0.1,N/A,0214-896X,20884
Comunicacion y Hombre,COMUN HOMBRE,ESCI,COMMUNICATION,0.1,Q4,1885-365X,20884
Confluenze-Rivista di Studi Iberoamericani,CONFLUENZE,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,2036-0967,20884
Cuadernos de Filosofia Latinoamericana,CUAD FILOS LATINOAM,ESCI,PHILOSOPHY,0.1,N/A,0120-8462,20884
Eastern European Countryside,EAST EUR COUNTRYSIDE,SSCI,SOCIOLOGY,0.1,Q4,1232-8855,20884
Endoxa-Series Filosoficas,ENDOXA-SER-FILOS,ESCI,PHILOSOPHY,0.1,N/A,1133-5351,20884
Folia Linguistica et Litteraria,FOLIA LINGUIST LITT,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1800-8542,20884
Foro Educacional,FORO EDUC-CHILE,ESCI,EDUCATION & EDUCATIONAL RESEARCH,0.1,Q4,0717-2710,20884
Ideas y Valores,IDEAS VALORES,AHCI,PHILOSOPHY,0.1,N/A,0120-0062,20884
Japanese Studies in Russia,JPN STUD RUSS,ESCI,AREA STUDIES,0.1,Q4,2500-2872,20884
Journal of Curatorial Studies,J CURATOR STUD,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,2045-5836,20884
Journal of the International Network for Korean Language and Culture,J INT NETW KOR LANG,ESCI,LANGUAGE & LINGUISTICS,0.1,N/A,N/A,20884
Mathematical and Computational Forestry & Natural-Resource Sciences,MATH COMPUT FOR NAT-,ESCI,FORESTRY,0.1,Q4,1946-7664,20884
Mediterranea-Ricerche Storiche,MEDITERR-RIC STOR,AHCI,HISTORY,0.1,Q3,1828-230X,20884
Musicologica Brunensia,MUSICOL BRUN,ESCI,MUSIC,0.1,N/A,1212-0391,20884
NEW MEXICO HISTORICAL REVIEW,NEW MEX HIST REV,AHCI,HISTORY,0.1,Q3,0028-6206,20884
Philobiblon-Transylvanian Journal of Multidisciplinary Research in Humanities,PHILOBIBLON,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1224-7448,20884
POLISH REVIEW,POL REV,ESCI,Multiple,0.1,Q4,0032-2970,20884
Public and Private International Law Bulletin,PUB PRIV INT LAW B,ESCI,LAW,0.1,Q4,2651-5377,20884
REVUE DE MUSICOLOGIE,REV MUSICOL,AHCI,MUSIC,0.1,N/A,0035-1601,20884
Ricerche di Psicologia,RIC PSICOL,ESCI,PSYCHOLOGY,0.1,Q4,0391-6081,20884
Sanat Tarihi Dergisi-Journal of Art History,SANAT TARIHI DERG,ESCI,ART,0.1,N/A,1300-5707,20884
SPRACHWISSENSCHAFT,SPRACHWISSENSCHAFT,AHCI,LANGUAGE & LINGUISTICS,0.1,N/A,0344-8169,20884
Synthesis Philosophica,SYNTH PHILOS,AHCI,PHILOSOPHY,0.1,N/A,0352-7875,20884
Vestnik Slavianskikh Kultur-Bulletin of Slavic Cultures-Scientific and Informational Journal,VESTN SLAVIANSKIKH K,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,2073-9567,20884
Victorian Historical Journal,VIC HIST J,ESCI,HISTORY,0.1,Q3,1030-7710,20884
Victorian Review-An Interdisciplinary Journal of Victorian Studies,VIC REV,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,0848-1512,20884
VIREF-Revista de Educacion Fisica,VIREF-REV EDUC FIS,ESCI,EDUCATION & EDUCATIONAL RESEARCH,0.1,Q4,2322-9411,20884
Area Abierta,AREA ABIERTA,ESCI,COMMUNICATION,0.1,Q4,1578-8393,20884
AusArt,AUSART,ESCI,ART,0.1,N/A,2340-9134,20884
Bali Medical Journal,BALI MED J,ESCI,"MEDICINE, GENERAL & INTERNAL",0.1,Q4,2089-1180,20884
Balkan Arastrma Enstitusu Dergisi-Journal of Balkan Research Institute-JBRI,BALK ARASTIRMA ENST,ESCI,AREA STUDIES,0.1,Q4,2147-1371,20884
Central European Journal of Economic Modelling and Econometrics,CENT EUR J ECONOM MO,ESCI,ECONOMICS,0.1,Q4,2080-0886,20884
CTAD-Cumhuriyet Tarihi Arastirmalari Dergisi,CTAD-CUMHUR TARIHI A,ESCI,HISTORY,0.1,Q3,1305-1458,20884
Dante e l arte,DANTE ARTE,ESCI,ART,0.1,N/A,2385-7269,20884
Frontiers of Law in China,FRONT LAW CHINA,ESCI,LAW,0.1,Q4,1673-3428,20884
Galilaeana-Studies in Renaissance and Early Modern Science,GALILAEANA,AHCI,HISTORY & PHILOSOPHY OF SCIENCE,0.1,Q4,1971-6052,20884
Journal of Asia-Pacific Pop Culture,J ASIA-PAC POP CULT,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,2380-7679,20884
JOURNAL OF THE SOCIETY OF LEATHER TECHNOLOGISTS AND CHEMISTS,J SOC LEATH TECH CH,SCIE,"MATERIALS SCIENCE, TEXTILES",0.1,Q4,0144-0322,20884
ORIZZONTI,ORIZZONTI,ESCI,ARCHAEOLOGY,0.1,N/A,1591-2787,20884
Politologija,POLITOLOGIJA,ESCI,POLITICAL SCIENCE,0.1,Q4,1392-1681,20884
Prikladnaya Diskretnaya Matematika,PRIKL DISKRETN MAT,ESCI,"MATHEMATICS, APPLIED",0.1,Q4,2071-0410,20884
Rasprave,RASPRAVE,ESCI,LANGUAGE & LINGUISTICS,0.1,N/A,1331-6745,20884
Relaciones Internacionales-Madrid,RELAC INT-MADR,ESCI,INTERNATIONAL RELATIONS,0.1,Q4,1699-3950,20884
Revista de Filosofia Aurora,REV FILOS AURORA,AHCI,PHILOSOPHY,0.1,N/A,2965-1557,20884
Revista de Musicologia,REV MUSICOL-MADRID,ESCI,MUSIC,0.1,N/A,0210-1459,20884
Revista Internacional de Organizaciones,REV INT ORGAN-ESP,ESCI,SOCIOLOGY,0.1,Q4,2013-570X,20884
SOCIETES,SOCIETES,AHCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,0765-3697,20884
Zeitschrift fuer Theologie und Philosophie,Z THEOL PHILOS,ESCI,Multiple,0.1,N/A,2709-8427,20884
Afrika Focus,AFRIKA FOCUS,ESCI,AREA STUDIES,0.1,Q4,0772-084X,20884
Agora-Papeles de Filosofia,AGORA-PAP FILOS,ESCI,PHILOSOPHY,0.1,N/A,0211-6642,20884
Altre Modernita-Rivista di Studi Letterari e Culturali,ALTRE MOD-RIV STUD L,ESCI,CULTURAL STUDIES,0.1,Q4,2035-7680,20884
ARQ,ARQ,AHCI,ARCHITECTURE,0.1,N/A,0717-6996,20884
Australian Intellectual Property Journal,AUSTR INTELLECT PROP,ESCI,LAW,0.1,Q4,1038-1635,20884
Beytulhikme-An International Journal of Philosophy,BEYTULHIKME,ESCI,PHILOSOPHY,0.1,N/A,1303-8303,20884
Catholic Social Science Review,CATHOL SOC SCI REV,ESCI,RELIGION,0.1,N/A,1091-0905,20884
Claridades-Revista de Filosofia,CLARIDADES-REV FILOS,ESCI,PHILOSOPHY,0.1,N/A,1889-6855,20884
Disegnare Idee Immagini-Ideas Images,DISEGNARE IDEE IMMAG,AHCI,ARCHITECTURE,0.1,N/A,1123-9247,20884
GIST-Education and Learning Research Journal,GIST-EDUC LEARN RES,ESCI,EDUCATION & EDUCATIONAL RESEARCH,0.1,Q4,1692-5777,20884
Intersezioni,INTERSEZIONI,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,0393-2451,20884
Irish Jurist,IR JURIST,ESCI,LAW,0.1,Q4,0021-1273,20884
Journal of EndoVascular Resuscitation and Trauma Management,J ENDOVASC RESUSC TR,ESCI,Multiple,0.1,Q4,2002-7567,20884
Journal of Law and Political Sciences,J LAW POLIT SCI,ESCI,LAW,0.1,Q4,2222-7288,20884
Latin American and Latinx Visual Culture,LAT AM LAT VIS CULT,ESCI,Multiple,0.1,Q4,N/A,20884
Lingua Italiana,LING ITAL,ESCI,Multiple,0.1,Q4,1724-9074,20884
LITTERATURE,LITTERATURE,AHCI,LITERATURE,0.1,N/A,0047-4800,20884
Music and The Moving Image,MUSIC MOV IMAGE,ESCI,"FILM, RADIO, TELEVISION",0.1,N/A,2167-8464,20884
Polish Yearbook of International Law,POL YEARB INT LAW,ESCI,LAW,0.1,Q4,0554-498X,20884
Revista Notas Historicas y Geograficas,REV NOTAS HIST GEOGR,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,0717-036X,20884
REVUE DES ETUDES JUIVES,REV ETUD JUIVES,AHCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,0484-8616,20884
Revue Roumaine de Linguistique-Romanian Review of Linguistics,REV ROUM LINGUIST,AHCI,Multiple,0.1,Q4,0035-3957,20884
Ri Vista-Ricerche per la Progettazione del Paesaggio,RI VISTA,ESCI,ARCHITECTURE,0.1,N/A,1724-6768,20884
Rivista Italiana di Filosofia del Linguaggio,RIV ITAL FILOS LINGU,ESCI,LANGUAGE & LINGUISTICS,0.1,N/A,2036-6728,20884
SCHWEIZERISCHES ARCHIV FUR VOLKSKUNDE,SCHWEIZ ARCH VOLKSKU,AHCI,FOLKLORE,0.1,N/A,0036-794X,20884
Southeast Asian Bulletin of Mathematics,SE ASIAN B MATH,ESCI,MATHEMATICS,0.1,Q4,0129-2021,20884
Stilistica e Metrica Italiana,STILISTICA METR ITAL,ESCI,LANGUAGE & LINGUISTICS,0.1,N/A,1591-6693,20884
Studia Austriaca,STUD AUSTRIACA,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1593-2508,20884
Techniques in Orthopaedics,TECH ORTHOP,ESCI,ORTHOPEDICS,0.1,Q4,0885-9698,20884
TIJDSCHRIFT VOOR FILOSOFIE,TIJDSCHR FILOS,AHCI,PHILOSOPHY,0.1,N/A,0040-750X,20884
Trabajo Social Global-Global Social Work,TRAB SOC GLOB,ESCI,SOCIAL WORK,0.1,Q4,2013-6757,20884
Tydskrif Vir Die Suid-Afrikaanse Reg,TYDSKR SUID-AFR REG,ESCI,LAW,0.1,Q4,0257-7747,20884
Zeitschrift der Savigny-Stiftung fur Rechtsgeschichte - Kanonistische Abteilung,ZRG-KANON ABT,ESCI,Multiple,0.1,Q3,0323-4142,20884
ZEITSCHRIFT FUR AGYPTISCHE SPRACHE UND ALTERTUMSKUNDE,Z AGYPT SPRACHE ALT,AHCI,ARCHAEOLOGY,0.1,N/A,0044-216X,20884
Annals of the Faculty of Law in Belgrade,ANN FAC LAW BELGRADE,ESCI,LAW,0.1,Q4,0003-2565,20884
Art and Interpretation,ART INTERPRET,ESCI,ART,0.1,N/A,N/A,20884
Avances del Cesor,AV CESOR,ESCI,HISTORY,0.1,Q3,1514-3899,20884
Cahiers de Droit,CAH DROIT,ESCI,LAW,0.1,Q4,0007-974X,20884
Caravelle,CARAVELLE,AHCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1147-6753,20884
Cercles-Revista d Historia Cultural,CERCLES-REV HIST CUL,ESCI,HISTORY,0.1,Q3,1139-0158,20884
CINEASTE,CINEASTE,AHCI,"FILM, RADIO, TELEVISION",0.1,N/A,0009-7004,20884
Comparative and International Law Journal of Southern Africa-CILSA,COMP INT LAW J SOUTH,ESCI,LAW,0.1,Q4,0010-4051,20884
Current Research in Social Psychology,CURR RES SOC PSYCHOL,ESCI,"PSYCHOLOGY, SOCIAL",0.1,Q4,1088-7423,20884
Curriculum Matters,CURRIC MATTERS,SSCI,EDUCATION & EDUCATIONAL RESEARCH,0.1,Q4,1177-1828,20884
Didactica-Lengua y Literatura,DIDACT-LENG LIT,ESCI,LANGUAGE & LINGUISTICS,0.1,N/A,1130-0531,20884
European Journal of Transformation Studies,EUR J TRANSFORM STUD,ESCI,POLITICAL SCIENCE,0.1,Q4,2298-0997,20884
Future Anterior,FUTURE ANTERIOR,AHCI,ARCHITECTURE,0.1,N/A,1549-9715,20884
Indian Anaesthetists Forum,INDIAN ANAESTH FORUM,ESCI,ANESTHESIOLOGY,0.1,Q4,2589-7934,20884
Internetworking Indonesia,INTERNETWORKING INDO,ESCI,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",0.1,Q4,1942-9703,20884
Iranian Journal of Radiology,IRAN J RADIOL,SCIE,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",0.1,Q4,1735-1065,20884
Journal of Private Enterprise,J PRIV ENTERP,ESCI,ECONOMICS,0.1,Q4,0890-913X,20884
LATOMUS,LATOMUS,AHCI,CLASSICS,0.1,N/A,0023-8856,20884
LEA-Lingue e Letterature d Oriente e d Occidente,LEA-LINGUE LETT ORIE,ESCI,LANGUAGE & LINGUISTICS,0.1,N/A,1824-4920,20884
Lebenswelt-Aesthetics and Philosophy of Experience,LEBENSWELT,ESCI,PHILOSOPHY,0.1,N/A,2240-9599,20884
Linguae &-Rivista di Lingue e Culture Moderne,LINGUAE,ESCI,LANGUAGE & LINGUISTICS,0.1,N/A,2281-8952,20884
MERKUR-DEUTSCHE ZEITSCHRIFT FUR EUROPAISCHES DENKEN,MERKUR-DEUT Z EUR D,AHCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,0026-0096,20884
Pathologia,PATHOLOGIA,ESCI,PATHOLOGY,0.1,Q4,2306-8027,20884
Pravo-Zhurnal Vysshei Shkoly Ekonomiki,PRAVO,ESCI,LAW,0.1,Q4,2072-8166,20884
REVISTA DE FILOLOGIA DE LA UNIVERSIDAD DE LA LAGUNA,REV FILOL UNIV LAGUN,ESCI,LANGUAGE & LINGUISTICS,0.1,N/A,0212-4130,20884
Revista e-Mercatoria,REV E-MERCATORIA,ESCI,LAW,0.1,Q4,1692-3960,20884
REVUE FRANCAISE DE SOCIOLOGIE,REV FR SOCIOL,SSCI,SOCIOLOGY,0.1,Q4,0035-2969,20884
RHODORA,RHODORA,SCIE,PLANT SCIENCES,0.1,Q4,0035-4902,20884
Roczniki Humanistyczne,ROCZ HUMANIST,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,0035-7707,20884
Slovenska Archeologia,SLOV ARCHEOL,ESCI,ARCHAEOLOGY,0.1,N/A,1335-0102,20884
SPRACHE-STIMME-GEHOR,SPRACHE-STIMME-GEHOR,ESCI,OTORHINOLARYNGOLOGY,0.1,Q4,0342-0477,20884
Studia z Filologii Polskiej i Slowianskiej,STUD FILOL POLSK SLO,ESCI,LANGUAGE & LINGUISTICS,0.1,N/A,0081-7090,20884
Turkiye Iletisim Arastirmalari Dergisi-Turkish Review of Communication Studies,TURK ILET ARASTIRMAL,ESCI,COMMUNICATION,0.1,Q4,N/A,20884
Vestnik Tomskogo Gosudarstvennogo Universiteta-Pravo-Tomsk State University Journal of Law,VESTN TOSK GOS U-PR,ESCI,LAW,0.1,Q4,2225-3513,20884
WINTERTHUR PORTFOLIO-A JOURNAL OF AMERICAN MATERIAL CULTURE,WINTERTHUR PORTFOLIO,AHCI,ART,0.1,N/A,0084-0416,20884
Academic Journal of Modern Philology,ACAD J MOD PHILOL,ESCI,LANGUAGE & LINGUISTICS,0.1,N/A,2299-7164,20884
Acta Facultatis Medicae Naissensis,ACTA FAC MEDICAE NAI,ESCI,"MEDICINE, GENERAL & INTERNAL",0.1,Q4,0351-6083,20884
Acta Medico-Historica Adriatica,ACTA MED-HIST ADRIAT,ESCI,HISTORY & PHILOSOPHY OF SCIENCE,0.1,Q4,1334-4366,20884
AKTUELLE DERMATOLOGIE,AKTUEL DERMATOL,ESCI,DERMATOLOGY,0.1,Q4,0340-2541,20884
Ancient Asia-Journal of the Society of South Asian Archaeology,ANC ASIA,ESCI,ARCHAEOLOGY,0.1,N/A,N/A,20884
Antropologia e Teatro-Rivista di Studi,ANTROPOL TEATRO,ESCI,THEATER,0.1,N/A,2039-2281,20884
ArDIn-Arte Diseno e Ingenieria,ARDIN,ESCI,ART,0.1,N/A,2254-8319,20884
Argentinian Journal of Applied Linguistics,ARGENT J APPL LINGUI,ESCI,LINGUISTICS,0.1,Q4,2314-3576,20884
BACH,BACH,AHCI,MUSIC,0.1,N/A,0005-3600,20884
Bulletin of Russian State Medical University,B RUSS STATE MED U,ESCI,"MEDICINE, GENERAL & INTERNAL",0.1,Q4,2500-1094,20884
BYU Studies Quarterly,BYU STUD Q,AHCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,2167-8472,20884
DOKLADY NATSIONALNOI AKADEMII NAUK BELARUSI,DOKL NAN BELARUSI,ESCI,MULTIDISCIPLINARY SCIENCES,0.1,Q4,1561-8323,20884
Escritura e Imagen,ESCR IMAGEN,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1885-5687,20884
Espacio Tiempo y Educacion,ESPACIO TIEMPO EDUC,ESCI,EDUCATION & EDUCATIONAL RESEARCH,0.1,Q4,2340-7263,20884
Estudios del Desarrollo Social-Cuba y America Latina,ESTUD DESARRO SOC,ESCI,AREA STUDIES,0.1,Q4,2308-0132,20884
ETUDES CLASSIQUES,ETUD CLASSIQUES,AHCI,CLASSICS,0.1,N/A,0014-200X,20884
EUROPE-REVUE LITTERAIRE MENSUELLE,EUROPE-REV LIT MENS,AHCI,LITERARY REVIEWS,0.1,N/A,0014-2751,20884
Film International,FILM INT,ESCI,"FILM, RADIO, TELEVISION",0.1,N/A,1651-6826,20884
Genre Sexualite & Societe,GENRE SEX SOC,ESCI,WOMENS STUDIES,0.1,Q4,2104-3736,20884
Geopoliticas-Revista de Estudios sobre Espacio y Poder,GEOPOLITICAS,ESCI,POLITICAL SCIENCE,0.1,Q4,2172-3958,20884
Habis,HABIS,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,0210-7694,20884
Indian Journal of Economics and Development,INDIAN J ECON DEV,ESCI,ECONOMICS,0.1,Q4,2277-5412,20884
International Journal of Educational Sciences,INT J EDUC SCI,ESCI,EDUCATION & EDUCATIONAL RESEARCH,0.1,Q4,0975-1122,20884
Interpretation-A Journal of Political Philosophy,INTERPRETATION-J POL,AHCI,PHILOSOPHY,0.1,N/A,0020-9635,20884
Italica Belgradensia,ITAL BELGRADENSIA,ESCI,Multiple,0.1,N/A,0353-4766,20884
ITE JOURNAL-INSTITUTE OF TRANSPORTATION ENGINEERS,ITE J,SCIE,Multiple,0.1,Q4,0162-8178,20884
Lenguaje y Textos,LENG TEXT,ESCI,LINGUISTICS,0.1,Q4,1133-4770,20884
LINGUA NOSTRA,LINGUA NOSTRA,AHCI,LANGUAGE & LINGUISTICS,0.1,N/A,0024-3868,20884
LINGUISTIQUE,LINGUISTIQUE,AHCI,LANGUAGE & LINGUISTICS,0.1,N/A,0075-966X,20884
Methodos-Savoirs et Textes,METHODOS,ESCI,PHILOSOPHY,0.1,N/A,1769-7379,20884
Navigator-Subsidios para a Historia Maritima do Brasil,NAVIGATOR,ESCI,HISTORY,0.1,Q3,0100-1248,20884
Open Insight,OPEN INSIGHT,ESCI,PHILOSOPHY,0.1,N/A,2007-2406,20884
Oral & Maxillofacial Pathology Journal,ORAL MAXILLOFAC PATH,ESCI,"DENTISTRY, ORAL SURGERY & MEDICINE",0.1,Q4,0976-1225,20884
Pamiec i Sprawiedliwosc,PAMIEC SPRAWIEDL,ESCI,HISTORY,0.1,Q3,1427-7476,20884
Potestas,POTESTAS,ESCI,Multiple,0.1,Q3,1888-9867,20884
Proyecto Progreso Arquitectura,PROY PROGRESO ARQUIT,AHCI,ARCHITECTURE,0.1,N/A,2171-6897,20884
Quiroga-Revista de Patrimonio Iberoamericano,QUIROGA,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,2254-7037,20884
Revista de Direito Sanitario-Journal of Health Law,REV DIREITO SANIT,ESCI,LAW,0.1,Q4,1516-4179,20884
Revista de Estudos da Linguagem,REV ESTUD LING,ESCI,LANGUAGE & LINGUISTICS,0.1,N/A,0104-0588,20884
Revista de Osteoporosis y Metabolismo Mineral,REV OSTEOPOR METAB M,ESCI,ENDOCRINOLOGY & METABOLISM,0.1,Q4,1889-836X,20884
Revista de Senologia y Patologia Mamaria,REV SENOL PATOL MAM,ESCI,Multiple,0.1,Q4,0214-1582,20884
Revista Digital Mundo Asia Pacifico,REV DIG MUNDO ASIA P,ESCI,AREA STUDIES,0.1,Q4,2344-8172,20884
Revista EDaPECI-Educacao a Distancia e Praticas Educativas Comunicacionais e Interculturais,REV EDAPECI,ESCI,EDUCATION & EDUCATIONAL RESEARCH,0.1,Q4,2176-171X,20884
Revista General de Derecho Publico Comparado,REV GEN DERECHO PUBL,ESCI,LAW,0.1,Q4,1988-5091,20884
Revista Latinoamericana de Investigacion en Matematica Educativa-RELIME,REV LAT AM INV MAT E,SSCI,EDUCATION & EDUCATIONAL RESEARCH,0.1,Q4,1665-2436,20884
Revista Universidad y Sociedad,REV UNIV SOC,ESCI,"SOCIAL SCIENCES, INTERDISCIPLINARY",0.1,Q4,2218-3620,20884
RIVISTA DI FILOSOFIA NEO-SCOLASTICA,RIV FILOS NEO-SCOLAS,AHCI,PHILOSOPHY,0.1,N/A,0035-6247,20884
Rivista di Psicolinguistica Applicata-Journal of Applied Psycholinguistics,RIV PSICOLINGUIST AP,ESCI,LINGUISTICS,0.1,Q4,1592-1328,20884
Sante Mentale au Quebec,SANTE MENT QUE,ESCI,PSYCHIATRY,0.1,Q4,0383-6320,20884
Signo y Sena-Revista del Instituto de Linguistica,SIGNO SENA,ESCI,LANGUAGE & LINGUISTICS,0.1,N/A,2314-2189,20884
South Central Review,S CENT REV,AHCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,0743-6831,20884
